Station
Yonge
Finch
North York Centre
Sheppard Yonge
York Mills
Lawrence
Eglinton
Davisville
St Clair
Summerhill
Rosedale
Bloor Yonge
Wellesley
College
Dundas
Queen
King
Union
St Andrew
Osgoode
St Patrick
Queens Park
Museum
St George
Spadina
Dupont
St Clair West
Eglinton West
Glencairn
Lawrence West
Yorkdale
Wilson
Sheppard West
Downsview Park
Finch West
York University
Pioneer Village
Vaughan Metro Centre
Kipling
Islington
Royal York
Old Mill
Jane
Runnymede
High Park
Keele
Dundas West
Lansdowne
Dufferin
Ossington
Christie
Bathurst
Bay
Sherbourne
Castle Frank
Broadview
Chester
Pape
Donlands
Greenwood
Coxwell
Woodbine
Main Street
bloor
danforth
vaughan
Victoria Park
Warden
Kennedy
Lawrence East
Ellesmere
Midland
Scarborough Centre
McCowan
Bayview
Bessarion
Leslie
Don Mills
University

Exhibition
Mimico
Long Branch
Port Credit
Clarkson
Oakville
Bronte
Appleby
Burlington
Aldershot
Hamilton
West Harbour
St. Catharines
Niagara Falls
Danforth
Scarborough
Eglinton
Guildwood
Rouge Hill
Pickering
Ajax
Whitby
Oshawa
Kipling
Dixie
Cooksville
Erindale
Streetsville
Meadowvale
Lisgar
Milton
Bloor
Weston
Etobicoke North
Malton
Bramalea
Brampton
Mount Pleasant
Georgetown
Acton
Guelph
Kitchener
Downsview Park
York University
Rutherford
Maple
King City
Aurora
Newmarket
East Gwillimbury
Bradford
Barrie South
Allandale Waterfront
Oriole
Old Cummer
Langstaff
Richmond Hill
Gormley
Kennedy
Agincourt
Milliken
Unionville
Centennial
Markham
Mount Joy
Stouffville
Lincolnville

Confederation
Grimsby
Thornton's Corners
Oshawa Central
Darlington
Bowmanville

Barrie
Finch
Guelph
Kitchener
McMaster
Newmarket
Oshawa
Richmond Hill Centre
Scarborough Centre
Square One
Union
York Mills
Yorkdale
