alpha,num_topics,topic_threshold,loss
76.0,12.0,0.3567345130186702,-0.5211239729933473
80.0,11.0,0.6192010431989368,-0.5154086835591739
16.0,9.0,0.7273740247973423,-0.5110461387854239
55.0,17.0,0.45723257390144373,-0.5082848860599163
123.0,10.0,0.8305165144933775,-0.5035486152721291
117.0,5.0,0.7310316273285222,-0.5006229185972668
23.0,13.0,0.7679999272181325,-0.5003334298959894
28.0,5.0,0.2825973393138201,-0.4984311087954163
58.0,5.0,0.6737226702946884,-0.4962194947671345
74.0,17.0,0.37658534963619134,-0.49404182082035913
120.0,10.0,0.7180249564943993,-0.4933742876253245
76.0,15.0,0.5425499239401734,-0.4879205469025705
53.0,23.0,0.45218680097808095,-0.4863021010038053
199.0,9.0,0.5774825204886477,-0.4833436617758316
94.0,11.0,0.589649347819253,-0.4829039471064245
49.0,19.0,0.7789700654616878,-0.4828153568390714
81.0,19.0,0.9219414632332327,-0.47992160522883315
152.0,17.0,0.17937235900606965,-0.4763558978611499
5.0,31.0,0.516997653095723,-0.47618164292027043
77.0,17.0,0.3760238670683091,-0.4753754571721721
162.0,5.0,0.7501612464922409,-0.47274425065194636
67.0,13.0,0.5585069712046972,-0.4654625435699427
9.0,42.0,0.8404453520056185,-0.4646538591204924
81.0,31.0,0.6620317749492646,-0.46211506072923475
25.0,29.0,0.992753678130773,-0.4601510092144129
130.0,21.0,0.6230963430139024,-0.45956800023918276
8.0,57.0,0.24593498921079654,-0.45800540914505783
136.0,7.0,0.4332665203886151,-0.4568053795835027
35.0,46.0,0.31243332838339105,-0.4541376147516836
10.0,67.0,0.4371617895393487,-0.453507976242775
3.0,77.0,0.006953099310526234,-0.4522564733393625
48.0,34.0,0.33925834870426275,-0.44663183153760433
172.0,186.0,0.12389083900094759,-0.4461990618571136
45.0,37.0,0.9154622205245395,-0.4458413397397053
15.0,2.0,0.5370886567102,-0.444442739753073
106.0,2.0,0.639029280142879,-0.44406811577246796
146.0,23.0,0.0900964368686169,-0.4421144528784807
107.0,27.0,0.6348157035937836,-0.4396039957739894
157.0,200.0,0.20063440610499692,-0.43821251177197007
176.0,182.0,0.8450564204053826,-0.4375597028988542
30.0,66.0,0.47509300032909957,-0.4368413622554618
83.0,2.0,0.8807977725025624,-0.4355625034953448
69.0,2.0,0.34491546034601755,-0.4355625034953448
16.0,79.0,0.6454629765449279,-0.43427192510678275
39.0,56.0,0.40666232529112994,-0.4329162046257315
190.0,152.0,0.74508102336195,-0.43189372106504903
125.0,198.0,0.41516804496580023,-0.43133310944175285
168.0,26.0,0.1312376660518148,-0.43109334831902085
48.0,49.0,0.8155275543918432,-0.4307169148957053
134.0,30.0,0.7934200719671254,-0.4301542358658541
148.0,26.0,0.38852202867386043,-0.4249774353437074
115.0,40.0,0.21492820617526695,-0.4249237708121325
98.0,36.0,0.6086036252862955,-0.42215124221157097
45.0,43.0,0.26661890155784734,-0.4221223384286896
140.0,154.0,0.5584860974879686,-0.4205137471217742
119.0,165.0,0.13764874948478847,-0.420017680063209
8.0,106.0,0.6893707089729162,-0.41980629687559623
110.0,193.0,0.6676615841140076,-0.4189617512619579
113.0,184.0,0.8508253735290059,-0.41884908668551407
62.0,45.0,0.4839001330695738,-0.41733904848979647
140.0,139.0,0.5305783917684063,-0.4165298597019627
188.0,33.0,0.8763716246445634,-0.4134070679233828
3.0,2.0,0.6869549768392009,-0.41298199876712516
69.0,52.0,0.7953731912008416,-0.4128255983236719
28.0,71.0,0.4957814622350885,-0.41209513617125276
179.0,119.0,0.9535416108568663,-0.4118679160435723
98.0,40.0,0.711355816924775,-0.4097801831597253
63.0,54.0,0.16543132682348632,-0.4092791664421285
102.0,158.0,0.5123659395515214,-0.40922961470540653
59.0,47.0,0.304049072967234,-0.4078357362273099
15.0,126.0,0.40575281438716126,-0.4036927959513322
98.0,114.0,0.01645275731948122,-0.4007100308354046
89.0,59.0,0.32970594218246285,-0.39968782667076685
82.0,52.0,0.7319579759993541,-0.3995527904785328
181.0,39.0,0.45740430129039583,-0.39901998000619315
128.0,50.0,0.4336589709044392,-0.3985163249858826
42.0,91.0,0.3158802772832675,-0.3983597410965103
54.0,72.0,0.9671950525049947,-0.3980538008117519
65.0,65.0,0.36625438464119603,-0.3971531579541803
104.0,111.0,0.5670546651232182,-0.39617152339849154
94.0,64.0,0.5550636573966518,-0.39560329289331575
93.0,61.0,0.700713401328115,-0.3949381670295822
60.0,79.0,0.9824076838941638,-0.3940801562992202
109.0,101.0,0.35939295263021914,-0.3917325944866936
20.0,132.0,0.6033110494735233,-0.391365731010446
121.0,71.0,0.9190369536548936,-0.3898208320193503
90.0,88.0,0.22294937444213062,-0.3895527324766343
86.0,101.0,0.2540355983450431,-0.3889692494218171
166.0,84.0,0.7706898068133026,-0.3877365321958226
86.0,60.0,0.24359880955584595,-0.38515850621071557
67.0,126.0,0.7232025386783154,-0.38426077701845757
72.0,97.0,0.07200705251340517,-0.3834248903293133
52.0,77.0,0.6422119850801973,-0.3832914114968665
112.0,93.0,0.04292964334793509,-0.3807292417956545
42.0,152.0,0.8114611399557681,-0.3793331538278798
21.0,175.0,0.5920675485676244,-0.37905636227976264
33.0,144.0,0.7495281689362088,-0.37875771709831146
77.0,85.0,0.2761708862109633,-0.3771340170241055
35.0,170.0,0.5221666125462877,-0.3755403153276502
39.0,172.0,0.49512927454625777,-0.37369803547242914
